key,name,abbreviation,other_name,type,type2,survey,category,ra,dec,distance_modulus,distance_kpc,ellipticity,a_h,r_physical,m_v,velocity_dispersion,surface_brightness,structure_ref,distance_ref,kinematics_ref
smash_1,SMASH 1,SMASH1,,UFSC,0,,,95.2496,-80.3966,18.8,57.54399373,0.62,0.57,5.881563242,-1,nan,26.418077,2016ApJ...830L..10M,2016ApJ...830L..10M,None
triangulum_2,Triangulum II,Tri II,Laevens 2,dSph,3,ps1,ps1,33.3252,36.1702,17.39,30.06076303,0.46,1.99,12.78721813,-1.6,-9999,27.5044934,2018ApJ...860...66M,2017AJ....154..267C,2017ApJ...838...83K
tucana_2,Tucana II,Tuc II,DES J2251.2-5836,dSph,4,des,des,342.9796,-58.5689,18.8,57.54399373,0.39,12.586,164.5427541,-3.8,8.6,30.8520011,2015ApJ...805..130K,2015ApJ...805..130K,2016ApJ...819...53W
tucana_3,Tucana III,Tuc III,DES J2356-5935,UFSC/dSph,3,des,des,359.15,-59.6,17.01,25.23480772,0,6,44.04304809,-2.4,-9999,29.3899978,2015ApJ...813..109D,2015ApJ...813..109D,2017ApJ...838...11S
tucana_4,Tucana IV,Tuc IV,DES J0002-6051,dSph,5,des,des,0.73,-60.85,18.41,48.08393484,0.4,11.8,127.8450006,-3.5,nan,30.6040268,2015ApJ...813..109D,2015ApJ...813..109D,None
tucana_5,Tucana V,Tuc V,DES J2337-6316,?,3,des,des,354.35,-63.27,18.71,55.20774393,0.7,1.8,15.83285556,-1.6,nan,27.9684094,2015ApJ...813..109D,2015ApJ...813..109D,None
ursa_major_1,Ursa Major I,UMa I,,dSph,5,ps1,sdss,158.7706,51.9479,19.94,97.27472238,0.59,8.31,150.5632807,-5.12,7.6,29.3392068,2018ApJ...860...66M,2013ApJ...767...62G,2007ApJ...670..313S
ursa_major_2,Ursa Major II,UMa II,,dSph,5,ps1,sdss,132.8726,63.1335,17.53,32.06269325,0.56,13.8,85.37516221,-4.25,6.7,28.9772657,2018ApJ...860...66M,2012ApJ...752...42D,2007ApJ...670..313S
ursa_minor_1,Ursa Minor,UMi,UGC 9749; DDO 199,dSph,5,ps1,classical,227.242,67.2221,19.41,76.207901,0.55,18.3,272.1344127,-9.03,9.4,26.7145213,2018ApJ...860...66M,2002AJ....124.3222B,None
virgo_1,Virgo I,Vir I,,?,3,ps1,hsc,180.038,-0.681,19.8,91.20108394,0.59,1.76,29.89721354,-0.33,nan,30.6187667,2018PASJ...70S..18H,2018PASJ...70S..18H,None
willman_1,Willman 1,Wil 1,SDSSJ1049+5103,dSph,4,ps1,sdss,162.3436,51.0501,17.9,38.01893963,0.47,2.51,20.20867193,-2.53,4,27.5683018,2018ApJ...860...66M,2005AJ....129.2692W,2011AJ....142..128W
